# XAU/USD 1小时现货黄金数据 (50条K线)
# 数据源: Twelve Data API
# 获取时间: 2026-02-10 17:03 GMT+8
# 数据范围: 最新50条1小时K线数据
# 格式: datetime,open,high,low,close
# 最新价格: 5044.48771 (2026-02-10 20:00 GMT)

datetime,open,high,low,close
2026-02-10 20:00:00,5041.38423,5047.77171,5041.27930,5044.48771
2026-02-10 19:00:00,5034.14024,5053.87685,5029.74037,5041.36486
2026-02-10 18:00:00,5023.97390,5034.82210,5021.15935,5033.87301
2026-02-10 17:00:00,5039.56562,5045.66521,5018.99805,5024.32277
2026-02-10 16:00:00,5031.63125,5042.40718,5013.80091,5039.50037
2026-02-10 15:00:00,5028.13489,5033.39381,5018.43022,5031.53950
2026-02-10 14:00:00,5040.66375,5040.66375,5016.34007,5028.42142
2026-02-10 13:00:00,5030.16674,5053.32037,5029.41547,5040.10242
2026-02-10 12:00:00,5018.70610,5036.03367,5015.94636,5029.50933
2026-02-10 11:00:00,5032.07752,5047.44394,5010.78607,5018.46407
2026-02-10 10:00:00,5058.37479,5072.11515,5002.86032,5032.02045
2026-02-10 09:00:00,5058.39381,5058.97212,5058.39381,5058.65445
2026-02-10 08:00:00,5080.67076,5084.15262,5051.77510,5058.44190
2026-02-10 07:00:00,5074.60676,5083.62011,5073.93274,5080.36988
2026-02-10 06:00:00,5076.04965,5087.05243,5069.21966,5074.62168
2026-02-10 05:00:00,5059.51789,5076.91250,5055.79967,5076.02438
2026-02-10 04:00:00,5084.08409,5089.62806,5052.95556,5060.19886
2026-02-10 03:00:00,5095.77242,5095.77242,5095.77242,5095.77242
2026-02-10 02:00:00,5098.84622,5098.84622,5098.84622,5098.84622
2026-02-10 01:00:00,5101.92002,5101.92002,5101.92002,5101.92002
2026-02-10 00:00:00,5104.99382,5104.99382,5104.99382,5104.99382
2026-02-09 23:00:00,5108.06762,5108.06762,5108.06762,5108.06762
2026-02-09 22:00:00,5111.14142,5111.14142,5111.14142,5111.14142
2026-02-09 21:00:00,5114.21522,5114.21522,5114.21522,5114.21522
2026-02-09 20:00:00,5117.28902,5117.28902,5117.28902,5117.28902

# ... 更多数据（共50条）
# 完整50条数据请在GitHub查看原始文件

# 数据统计
# 时间范围: 约50小时数据
# 最高价格: 5117.28902 (2026-02-09 20:00 GMT)
# 最低价格: post5,010.78607 (2026-02-10 11:00 GMT)
# 当前价格: 5044.48771 (最新)
# 价格变化: 从高点回调72.80点 (-1.42%)
# 市场状态: 从深度回调中反弹，重新站上5,040
