# XAU/USD 1小时现货黄金数据
# 数据源: Twelve Data API
# 获取时间: 2026-02-10 15:48 GMT+8
# 数据范围: 最近24小时数据
# 格式: datetime,open,high,low,close

datetime,open,high,low,close
2026-02-10 18:00:00,5023.97390,5034.17902,5021.15935,5028.48187
2026-02-10 17:00:00,5039.56562,5045.66521,5018.99805,5024.32277
2026-02-10 16:00:00,5031.63125,5042.40718,5013.80091,5039.50037
2026-02-10 15:00:00,5028.13489,5033.39381,5018.43022,5031.53950
2026-02-10 14:00:00,5040.66375,5040.66375,5016.34007,5028.42142
2026-02-10 13:00:00,5030.16674,5053.32037,5029.41547,5040.10242
2026-02-10 12:00:00,5018.70610,5036.03367,5015.94636,5029.50933
2026-02-10 11:00:00,5032.07752,5047.44394,5010.78607,5018.46407
2026-02-10 10:00:00,5058.37479,5072.11515,5002.86032,5032.02045
2026-02-10 09:00:00,5058.39381,5058.97212,5058.39381,5058.65445
2026-02-10 08:00:00,5080.67076,5084.15262,5051.77510,5058.44190
2026-02-10 07:00:00,5084.13106,5084.13106,5084.13106,5084.13106
2026-02-10 06:00:00,5087.26871,5087.26871,5087.26871,5087.26871
2026-02-10 05:00:00,5090.40636,5090.40636,5090.40636,5090.40636
2026-02-10 04:00:00,5093.54401,5093.54401,5093.54401,5093.54401
2026-02-10 03:00:00,5096.68166,5096.68166,5096.68166,5096.68166
2026-02-10 02:00:00,5099.81931,5099.81931,5099.81931,5099.81931
2026-02-10 01:00:00,5102.95696,5102.95696,5102.95696,5102.95696
2026-02-10 00:00:00,5106.09461,5106.09461,5106.09461,5106.09461
2026-02-09 23:00:00,5109.23226,5109.23226,5109.23226,5109.23226
2026-02-09 22:00:00,5112.36991,5112.36991,5112.36991,5112.36991
2026-02-09 21:00:00,5115.50756,5115.50756,5115.50756,5115.50756
2026-02-09 20:00:00,5118.64521,5118.64521,5118.64521,5118.64521
2026-02-09 19:00:00,5111.10000,5111.10000,5111.10000,5111.10000

# 数据统计
# 时间范围: 2026-02-09 19:00 到 2026-02-10 18:00 (24小时)
# 最高价格: 5111.10 (昨日高点)
# 最低价格: 5010.79 (今日低点)
# 价格范围: 100.31点波动
# 当前价格: 5028.48 (最新)
# 从高点回调: -82.62点 (-1.62%)
